COMMAND LINE OUTPUT=service_code=1, class_code=b'\x04', response=test, b'', None, Destination unknown, class unsupported, instance undefined or structure element undefined (see extended status) - Extended status out of memory  (05, 00)
COMMAND LINE OUTPUT=service_code=2, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=3, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=4, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=5, class_code=b'\x04', response=test, b'', None, Destination unknown, class unsupported, instance undefined or structure element undefined (see extended status) - Extended status out of memory  (05, 00)
COMMAND LINE OUTPUT=service_code=6, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=7, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=8, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=9, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=10, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=11, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=12, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=13, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=14, class_code=b'\x04', response=test, b'\x00\x00\x0...0\x00\x00\x00', None, None
COMMAND LINE OUTPUT=service_code=15, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=16, class_code=b'\x04', response=test, b'', None, Insufficient command data
COMMAND LINE OUTPUT=service_code=17, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=18, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=19, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=20, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=21, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=22, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=23, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=24, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=25, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=26, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=27, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=28, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=29, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=30, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=31, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=32, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=33, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=34, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=35, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=36, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=37, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=38, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=39, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=40, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=41, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=42, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=43, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=44, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=45, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=46, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=47, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=48, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=49, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=50, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=51, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=52, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=53, class_code=b'\x04', response=test, b'', None, Service not supported
COMMAND LINE OUTPUT=service_code=54, class_code=b'\x04', response=test, b'', None, Service not supported
